uuid,Skills Power,Health,Max Health,Play Time,Money,Job,Groups,Mobs,Name,money,job,mame,skills_power,max_health,health,groups,play_time,name,online
00000000-0000-0000-0009-01f07c2f72f0,,,,,$102.88," - ",,,Guizinho5293,0.0," - ",Guizinho5293,,,,,,Guizinho5293,no
43893ae1-c85e-3178-9a5a-df9c24165b76,,,,,$123.84," - ",,,JOBSONFADOJAGA,0.0," - ",JOBSONFADOJAGA,,,,,,JOBSONFADOJAGA,no
00000000-0000-0000-0009-01f4a62e14f2,,,,,$513.19," - ",,,Luisin76523,0.0," - ",Luisin76523,,,,,,Luisin76523,no
8fd8f1f8-0f1f-3ed6-bfa0-414ca2d519fa,,,,,$185.60," - ",,,J_Gominha,0.0," - ",J_Gominha,,,,,,J_Gominha,no
00000000-0000-0000-0009-01fbc395b39f,,,,,$100," - ",,,GUSTAVO89578,0.0," - ",GUSTAVO89578,,,,,,GUSTAVO89578,no
57e3bb6e-55da-35c8-8aae-504811c4fd46,,,,,$258.15," - ",,,stone13cr4ft,0.0," - ",stone13cr4ft,,,,,,stone13cr4ft,no
00000000-0000-0000-0009-01ffd7e065db,0,18.0,20.0,3h 1m 28s,$242.16," - ",default,1,LemonZinha,0.0," - ",LemonZinha,,,,,,LemonZinha,no
e5f93a69-c899-3776-a49d-b12f51926393,,,,,$100.88," - ",,,Taupekkj,0.0," - ",Taupekkj,,,,,,Taupekkj,no
cf6e2240-c306-3521-9d59-735ae415b7dd,,,,,$26.64," - ",,,vitindograr,0.0," - ",vitindograr,,,,,,vitindograr,no
4a105d75-ca65-3fe4-9fb7-6de35c92f5b1,,,,,$131.54," - ",,,TororiTV,0.0," - ",TororiTV,,,,,,TororiTV,no
c761cb4d-f79a-38ec-bd10-9a52c18698c2,0,20.0,20.0,9m 19s,$100," - ",,,luizpb89,0.0," - ",luizpb89,,,,,,luizpb89,no
00000000-0000-0000-0009-01f2d9530873,2,12.333332061767578,20.0,18m 11s,$100," - ","default, rank_rookie",1,TaperQuill64723,0.0," - ",TaperQuill64723,,,,,,TaperQuill64723,no
00000000-0000-0000-0009-01f4c6e77664,5,20.0,20.0,13m 12s,$100," - ",,,Luigisigma,0.0," - ",Luigisigma,,,,,,Luigisigma,no
6f78117b-5abf-34f2-96b8-ad329a2fa636,85,23.0,20.0,3d 9h 58m 24s,"-$12,838.50"," - ","default, rank_pioneer",67,ImRayh,23.45549676823095," - ",ImRayh,86,20.0,22.0,"default, rank_pioneer",315003,ImRayh,no
d4c8d51d-26ff-35f2-be1e-31901538fb92,13,20.0,20.0,1h 4m 7s,$0," - ",,,lex232345,0.0," - ",lex232345,,,,,,lex232345,no
5bdd4513-65ff-39bf-83b9-dc57e85c4d0c,36,0.0,20.0,10h 53m 19s,$652.57," - ","default, rank_castaway",18,Giovanigb,0.0," - ",Giovanigb,,,,,,Giovanigb,no
3b398562-5aa6-3193-b4ca-48d96bd974b7,9,20.0,20.0,1h 47m 54s,$105.53," - ","default, rank_rookie",5,waldo,0.0," - ",waldo,,,,,,waldo,no
a15d73dd-5219-3728-b0e8-d4c4eab18d41,5,20.0,20.0,32m 5s,$100," - ","default, rank_rookie",3,vjcrlx,0.0," - ",vjcrlx,,,,,,vjcrlx,no
00000000-0000-0000-0009-01fe0206c2cb,5,14.792016983032227,20.0,1h 24m 28s,$100," - ","default, rank_rookie",3,DragonBlack7810,0.0," - ",DragonBlack7810,,,,,,DragonBlack7810,no
4ab8ad99-3fd0-3ac5-876c-6ec7df01698a,15,9.645906448364258,20.0,1h 55m 34s,$184.89," - ","default, rank_rookie",8,Dubl1n,0.0," - ",Dubl1n,,,,,,Dubl1n,no
a2e6b810-2bea-32da-a5f6-f07b1ed4c1e3,33,20.0,20.0,13h 33m 32s,$1.40k," - ","default, rank_survivor",17,pedrofff,0.0," - ",pedrofff,39,20.0,20.0,"default, rank_survivor",58517,pedrofff,no
00000000-0000-0000-0009-01f9f06f9135,5,20.0,20.0,20m 58s,$100," - ","default, rank_rookie",3,DreamMobile1313,0.0," - ",DreamMobile1313,,,,,,DreamMobile1313,no
81bec214-e5af-30fb-9b68-83a7aa2d2eb9,0,20.0,20.0,2m,$100," - ","default, rank_rookie",1,lirs,0.0," - ",lirs,,,,,,lirs,no
8c542a19-5b33-33f1-b7fb-1204f26ea42c,0,20.0,20.0,4m 38s,$100," - ","default, rank_rookie",1,ishawking,0.0," - ",ishawking,,,,,,ishawking,no
d394a618-a92c-3f80-9eac-b407e3dbfeb8,58,20.0,20.0,1d 11h 10m 7s,$303.57," - ","default, rank_traveller",31,Zander404,0.0," - ",Zander404,59,20.0,20.0,"default, rank_pioneer",137648,Zander404,no
550e203f-1f19-36a2-9b51-3ba1f5816041,56,20.0,20.0,16h 15m 58s,$1.07k," - ","default, rank_survivor",29,D4vimf,0.0," - ",D4vimf,,,,,,D4vimf,no
5aa30431-6daf-3b8a-a1dd-eaa92f01eb21,27,20.0,20.0,5h 3m 31s,$105.39," - ","default, rank_rookie",14,NaitPlayerGamer,0.0," - ",NaitPlayerGamer,,,,,,NaitPlayerGamer,no
a170010a-e92a-364d-baef-fbc2d627b43a,13,19.619117736816406,20.0,1h 41m 58s,$175.35," - ","default, rank_rookie",7,mariorei1234,0.0," - ",mariorei1234,,,,,,mariorei1234,no
ff62b985-91e6-3024-a74f-db3c07672c6e,0,1.6994519233703613,20.0,3m 25s,$100," - ","default, rank_rookie",1,LauBianchi,0.0," - ",LauBianchi,,,,,,LauBianchi,no
987c81c3-6394-3443-9eb0-4ca548b2cfb7,8,19.108064651489258,20.0,1h 11m 16s,$100," - ","default, rank_rookie",4,M4ttews,0.0," - ",M4ttews,,,,,,M4ttews,no
81bc596c-eef2-3c0d-a99d-6de3f437e55e,0,20.0,20.0,2m,$100," - ","default, rank_rookie",1,BR007NARUTIN,0.0," - ",BR007NARUTIN,,,,,,BR007NARUTIN,no
988208ff-ea30-3212-a4ae-d64e8122daa8,0,20.0,20.0,45s,$100," - ","default, rank_rookie",1,NARUTIN007BR,0.0," - ",NARUTIN007BR,,,,,,NARUTIN007BR,no
0297dd44-e35e-34b4-bd6d-d5ce73cfb9dd,1,20.0,20.0,15m 6s,$106.65," - ","default, rank_rookie",1,GuilhermeR,0.0," - ",GuilhermeR,,,,,,GuilhermeR,no
0d942d17-38f3-3e86-9e45-71c00a11f4ec,2,9.560001373291016,20.0,8m,$100," - ","default, rank_rookie",1,yRaiiko,0.0," - ",yRaiiko,,,,,,yRaiiko,no
